subject,hemisphere,dataType,label,dice
006,left,NoDenoising,all,0.524188
006,left,NoDenoising,1,0.540233
006,left,NoDenoising,2,0
006,left,NoDenoising,3,0.613237
006,left,NoDenoising,4,0.235294
006,left,NoDenoising,8,0.544574
006,left,NoDenoising,9,0.646772
006,left,NoDenoising,11,0.51774
006,left,NoDenoising,12,0.462435
007,left,NoDenoising,all,0.486007
007,left,NoDenoising,1,0.549245
007,left,NoDenoising,2,0
007,left,NoDenoising,3,0.632624
007,left,NoDenoising,4,0.139303
007,left,NoDenoising,8,0.489536
007,left,NoDenoising,9,0.538779
007,left,NoDenoising,11,0.450405
007,left,NoDenoising,12,0.383176
008,left,NoDenoising,all,0.562022
008,left,NoDenoising,1,0.628559
008,left,NoDenoising,2,0
008,left,NoDenoising,3,0.678225
008,left,NoDenoising,4,0.343612
008,left,NoDenoising,8,0.587781
008,left,NoDenoising,9,0.669975
008,left,NoDenoising,11,0.477145
008,left,NoDenoising,12,0.449603
009,left,NoDenoising,all,0.657976
009,left,NoDenoising,1,0.709974
009,left,NoDenoising,2,0.0289855
009,left,NoDenoising,3,0.741846
009,left,NoDenoising,4,0.225352
009,left,NoDenoising,8,0.523165
009,left,NoDenoising,9,0.659331
009,left,NoDenoising,11,0.336327
009,left,NoDenoising,12,0.686749
010,left,NoDenoising,all,0.446175
010,left,NoDenoising,1,0.554001
010,left,NoDenoising,2,0
010,left,NoDenoising,3,0.575938
010,left,NoDenoising,4,0.317181
010,left,NoDenoising,8,0.4014
010,left,NoDenoising,9,0.37144
010,left,NoDenoising,11,0.299306
010,left,NoDenoising,12,0.370027
011,left,NoDenoising,all,0.593885
011,left,NoDenoising,1,0.653551
011,left,NoDenoising,2,0.184615
011,left,NoDenoising,3,0.717152
011,left,NoDenoising,4,0.454936
011,left,NoDenoising,8,0.573886
011,left,NoDenoising,9,0.622402
011,left,NoDenoising,11,0.375099
011,left,NoDenoising,12,0.497319
012,left,NoDenoising,all,0.588297
012,left,NoDenoising,1,0.65499
012,left,NoDenoising,2,0.0547945
